호선,역명,상세주소 ,시,구,동,X좌표,Y좌표
B,구룡,서울특별시 강남구 개포동 175-3,서울특별시,강남구,개포동,37.486839,127.058856
B,개포동,서울특별시 강남구 개포2동,서울특별시,강남구,개포동,37.489116,127.06614
B,대모산입구,서울특별시 강남구 일원2동,서울특별시,강남구,일원동,37.491373,127.07272
B,복정,서울특별시 송파구 장지동,서울특별시,송파구,장지동,37.470047,127.126662
B,왕십리,서울특별시 성동구 행당1동 246-2,서울특별시,성동구,행당동,37.561533,127.037732
B,강남구청,서울특별시 강남구 삼성동 111-44,서울특별시,강남구,삼성동,37.517186,127.04128
B,태평,경기도 성남시 수정구 수진동 4808,경기도,성남시 수정구,수진동,37.440019,127.127709
B,서현,경기도 성남시 분당구 서현동 263,경기도,성남시 분당구,서현동,37.385126,127.123592
B,미금,경기도 성남시 분당구 금곡동 222,경기도,성남시 분당구,금곡동,37.350077,127.10891
B,보정,경기도 용인시 기흥구 보정동 1285?,경기도,용인시 기흥구,보정동,37.312752,127.108196
B,신갈,경기도 용인시 기흥구 신갈동 167,경기도,용인시 기흥구,신갈동,37.286102,127.111313
B,청명,경기도 수원시 영통구 영통동 1055,경기도,수원시 영통구,영통동,37.259489,127.078934
B,매탄권선,경기도 수원시 영통구 매탄동 687-4?,경기도,수원시 영통구,매탄동,37.252759,127.040566
B,선릉,서울특별시 강남구 삼성동 172-66,서울특별시,강남구,삼성동,37.504503,127.049008
B,한티,서울특별시 강남구 대치동 1011-28,서울특별시,강남구,대치동,37.496237,127.052873
B,모란,경기도 성남시 수정구 수진동 4518?,경기도,성남시 수정구,수진동,37.43213,127.129087
B,매교,경기도 수원시 팔달구 매교동 283?,경기도,수원시 팔달구,매교동,37.265481,127.015678
B,도곡,서울특별시 강남구 도곡동 339-2?,서울특별시,강남구,도곡동,37.490858,127.055381
B,수서,서울특별시 강남구 수서동 728,서울특별시,강남구,수서동,37.487371,127.10188
E,강남대,경기도 용인시 기흥구 구갈동 480-42?,경기도,용인시 기흥구,구갈동,37.270161,127.126033
E,지석,경기도 용인시 기흥구 상하동 401-1?,경기도,용인시 기흥구,상하동,37.269606,127.136515
E,동백,경기도 용인시 기흥구 중동 1087,경기도,용인시 기흥구,중동,37.269043,127.152716
E,초당,경기도 용인시 기흥구 중동 1090,경기도,용인시 기흥구,중동,37.260752,127.159443
E,시청·용인대,경기도 용인시 처인구 삼가동 255-15,경기도,용인시 처인구,삼가동,37.239151,127.178406
E,명지대,경기도 용인시 처인구 역북동 484-10?,경기도,용인시 처인구,역북동,37.237964,127.190294
E,운동장·송담대,경기도 용인시 처인구 김량장동 144-6?,경기도,용인시 처인구,김량장동,37.237845,127.209198
E,고진,경기도 용인시 처인구 유방동 1029-8,경기도,용인시 처인구,유방동,37.24484,127.214251
E,둔전,경기도 용인시 처인구 포곡읍 둔전리 406-93,경기도,용인시 처인구,포곡읍,37.267051,127.21364
E,전대·에버랜드,경기도 용인시 처인구 포곡읍 전대리 192-38,경기도,용인시 처인구,포곡읍,37.285342,127.219561
E,기흥,경기도 용인시 기흥구 구갈동 227-25,경기도,용인시 기흥구,구갈동,37.275619,127.115936
E,어정,경기도 용인시 기흥구 상하동 620-50 ,경기도,용인시 기흥구,상하동,37.274917,127.143714
E,삼가,경기도 용인시 처인구 삼가동 499-1?,경기도,용인시 처인구,삼가동,37.242115,127.168075
E,김량장,경기도 용인시 처인구 김량장동 486-21?,경기도,용인시 처인구,김량장동,37.237247,127.198781
E,보평,경기도 용인시 처인구 유방동 276-1,경기도,용인시 처인구,유방동,37.258965,127.218457
G,광운대,서울특별시 노원구 월계동 85?,서울특별시,노원구,월계동,37.623632,127.061835
G,상봉,서울특별시 중랑구 상봉동 100-9,서울특별시,중랑구,상봉동,37.596362,127.085032
G,망우,서울특별시 중랑구 상봉1동,서울특별시,중랑구,상봉1동,37.59955,127.091909
G,갈매,경기도 구리시 갈매동,경기도,구리시,갈매동,37.634118,127.114757
G,별내,경기도 남양주시 별내동,경기도,남양주시,별내동,37.64202,127.12684
G,사릉,경기도 남양주시 진건읍 사능리?,경기도 ,남양주시,진건읍,37.65108,127.176933
G,금곡,경기도 남양주시 금곡동 404-276,경기도,남양주시,금곡동,37.637382,127.207853
G,천마산,경기도 남양주시 화도읍 묵현리 320-11,경기도,남양주시,화도읍,37.658978,127.285379
G,마석,경기도 남양주시 화도읍 마석우리 222-2,경기도,남양주시,화도읍,37.652782,127.311767
G,청평,경기도 가평군 청평면 청평리 174?,경기도,가평군,청평면,37.735488,127.42661
G,상천,경기도 가평군 청평면 상천리 1260-1,경기도,가평군,청평면,37.770246,127.454821
G,굴봉산,강원도 춘천시 남산면 백양리 588-30,강원도,춘천시,남산면,37.832067,127.557695
G,백양리,강원도 춘천시 남산면 강촌리,강원도,춘천시,남산면,37.830779,127.58933
G,남춘천,강원도 춘천시 퇴계동?,강원도,춘천시,퇴계동,37.864007,127.723792
G,김유정,강원도 춘천시 신동면 증리,강원도,춘천시,신동면,37.818466,127.71434
G,청량리,서울특별시 동대문구 전농동,서울특별시,동대문구,전농동,37.580178,127.046835
G,회기,서울특별시 동대문구 회기동?,서울특별시,동대문구,회기동,37.58946,127.057583
G,중랑,서울특별시 중랑구 중화2동,서울특별시,중랑구,중화동,37.594917,127.076116
G,신내,서울특별시 중랑구 망우본동,서울특별시,중랑구,망우동,37.612887,127.103218
G,퇴계원,경기도 남양주시 퇴계원면 퇴계원리,경기도,남양주시,퇴계원면,37.648311,127.143952
G,평내호평,경기도 남양주시 평내동 660,경기도,남양주시,평내동,37.653225,127.244493
G,대성리,경기도 가평군 청평면 대성리 393-3 ,경기도,가평군,청평면,37.684071,127.379319
G,가평,경기도 가평군 가평읍 달전리,경기도,가평군,가평읍,37.814536,127.510739
G,강촌,강원도 춘천시 남산면 방곡리,강원도,춘천시,남산면,37.805723,127.634146
G,춘천,강원도 춘천시 근화동,강원도,춘천시,근화,37.885054,127.717023
I,계양,인천광역시 계양구 귤현동 ,인천광역시,계양구,귤현동,37.571462,126.735637
I,박촌,인천광역시 계양구 박촌동 ,인천광역시,계양구,박촌동,37.553703,126.745077
